Sample #	EMG_A01	EMG_A04
4031	0.014038	0.010071
4032	0.030365	0.016479
4033	0.026093	0.097198
4034	0.038147	0.19989
4035	0.055237	0.153656
4036	0.066833	0.106354
4037	0.020447	0.14328
4038	0.02182	0.079498
4039	0.035248	-0.020905
4040	0.020599	-0.15152
4041	0.037689	-0.284119
4042	0.068665	-0.368958
4043	0.054779	-0.278168
4044	-0.005188	0.124054
4045	0.029907	0.49469
4046	-0.021973	0.341644
4047	-0.005188	0.289001
4048	0.027161	0.071411
4049	0.049591	0.007324
4050	0.041046	-0.070038
4051	0.010834	-0.13504
4052	0.007629	-0.131226
4053	0.015259	-0.12085
4054	0.064087	-0.113678
4055	0.066681	-0.205383
4056	0.037537	0.029449
4057	-0.016785	0.006256
4058	0.016174	-0.10498
4059	-0.003204	-0.113831
4060	0.021667	0.011139
4061	0.022736	0.022736
4062	0.016937	0.110626
4063	0.035858	0.328217
4064	0.051422	0.262909
4065	0.022736	0.189362
4066	0.013885	0.137482
4067	0.072784	0.047455
4068	0.101318	-0.023499
4069	0.022125	-0.086365
4070	0.038147	-0.089417
4071	-0.017548	-0.024719
4072	0.065308	0.065155
4073	0.049744	-0.008392
4074	0.087433	-0.214539
4075	0.035858	-0.102234
4076	0.045471	-0.166626
4077	-0.013733	-0.104828
4078	0.01709	-0.047302
4079	0.015106	0.024414
4080	0.004883	0.041351
4081	0.060883	0.017242
4082	0.047607	0.126953
4083	0.03006	0.06424
4084	-0.011597	0.028076
4085	-0.0354	0.082092
4086	0.038605	0.041962
4087	0.035553	0.101166
4088	0.023651	-0.00946
4089	-0.00946	0.115967
4090	0.002594	0.060883
4091	0.029755	0.156097
4092	0.052643	0.121918
4093	0.07843	0.045471
4094	0.000153	0.046692
4095	-0.00351	0.075836
4096	0.018463	0.059204
4097	0.061646	0.108337
4098	-0.00946	0.050964
4099	0.031738	0.006104
4100	0.025482	-0.01709
4101	-0.049744	-0.017548
4102	0.015564	-0.001373
4103	0.013123	0.029602
4104	0.064087	0.019379
4105	0.050507	-0.010071
4106	0.022125	0.016022
4107	0.063934	-0.052795
4108	0.032349	0.005493
4109	0.051117	-0.014496
4110	0.036926	-0.161133
4111	0.100708	-0.223236
4112	0.069122	-0.26062
4113	0.020752	-0.147705
4114	0.016632	-0.002136
4115	-0.011902	0.320282
4116	0.065918	0.304413
4117	0.034943	0.274506
4118	0.036926	0.219879
4119	0.002136	0.246887
4120	-0.023193	0.171967
4121	0.043335	0.123596
4122	0.048065	0.107574
4123	0.057373	0.018005
4124	-0.000763	0.005493
4125	0.023193	0.071716
4126	0.011139	0.01236
4127	0.034332	0.088959
4128	0.058441	0.03067
4129	-0.021667	0.024872
4130	0.029144	0.056305
4131	0.050354	0.030975
4132	0.027924	0.036926
4133	0.045929	-0.108185
4134	-0.002136	-0.035553
4135	0.00473	0.004578
4136	0.082245	-0.021667
4137	-0.001678	0.023041
4138	0.016174	0.083618
4139	0.007324	0.057983
4140	0.053558	0.025635
4141	0.027008	0.020142
4142	0.044556	-0.012665
4143	0.069122	0.061035
4144	0.068512	0.051727
4145	0.072784	-0.040283
4146	0.045319	-0.057831
4147	0.053558	0.075073
4148	0.032349	0.084686
4149	0.030823	-0.005798
4150	0.025024	0.018616
4151	-0.000153	0.011444
4152	0.014801	0.038452
4153	0.001068	0.023346
4154	-0.039978	0.075989
4155	0.065308	0.153961
4156	0.023193	0.120392
4157	0.00473	0.114136
4158	-0.023499	0.054474
4159	-0.00946	-0.024261
4160	0.042267	-0.036316
4161	0.046539	-0.024261
4162	0.072632	-0.12146
4163	0.111542	-0.101013
4164	0.03952	0.041962
4165	0.0383	0.011444
4166	-0.021515	0.059662
4167	0.086365	0.036011
4168	0.096893	0.056458
4169	0.12207	0.036011
