Sample #	EMG_A01	EMG_A04
345	0.071869	0.028687
346	0.033112	0.007172
347	0.052643	-0.028687
348	0.018921	0.048981
349	0.004883	0.043182
350	0.043488	0.025787
351	0.022888	0.00824
352	0.052948	0.025024
353	0.057831	0.03479
354	0.022736	-0.00412
355	0.088043	0.017548
356	0.056458	-0.011139
357	0.04776	0.021515
358	0.076752	0.033569
359	0.006561	0.015411
360	-0.011139	0.042572
361	0.026245	-0.005493
362	0.028839	-0.042419
363	0.028534	-0.015106
364	0.0177	-0.005035
365	0.050812	0.10437
366	-0.003357	0.065613
367	0.038605	0.046997
368	0.00473	0.055084
369	0.027161	-0.025177
370	-0.015106	0.042267
371	-0.004578	0.0354
372	0.047607	0.0383
373	0.00412	0.019684
374	-0.005188	0.034485
375	0.011749	0.056458
376	0.016022	-0.012207
377	0.052948	0.010223
378	0.002747	0.000763
379	0.03952	0.005951
380	0.002136	0.037537
381	0.06073	0.00885
382	0.033722	0.035095
383	0.019226	0.008545
384	0.028229	-0.013428
385	0.031128	0.025177
386	0.001221	0.012512
387	0.088196	0.031738
388	0.015564	0.023193
389	0.072632	0.029144
390	0.003662	0.006561
391	0.0383	0.025024
392	-0.000916	-0.000153
393	0.014648	0.002136
394	0.06012	0.042725
395	0.033722	0.005035
396	0.023651	0.01297
397	0.035553	0.025177
398	0.027008	0.015869
399	0.029297	0.031738
400	0.00473	0.007477
401	0.070648	0.023499
402	-0.013733	0.003052
403	0.097046	0.016022
404	0.011749	0.029297
405	0.014801	-0.019379
406	0.045013	0.041962
407	0.041809	0.007324
408	0.019836	0.004272
409	0.024567	0.009613
410	0.053253	-0.002136
411	0.014343	0.04425
412	0.033112	-0.001526
413	0.018311	0.018921
414	0.005341	0.019684
415	0.043335	0.006561
416	-0.019989	0.02594
417	0.067291	-0.010986
418	0.048523	0.061798
419	0.047302	0.001526
420	0.0354	0.00824
421	0.011139	0.022278
422	0.02121	0.013123
423	0.03952	0.032501
424	0.040436	0.000305
425	0.055084	0.00946
426	0.010834	0.015869
427	0.06424	0.02182
428	0.029602	0.03418
429	0.042572	0.04776
430	0.029907	0.065765
431	0.023956	0.037842
432	0.033722	0.005798
433	-0.002289	0.014191
434	0.033112	-0.027924
435	0.027618	-0.002747
436	0.023956	0.005798
437	0.049133	0.011749
438	0.023193	0.003967
439	0.01236	0.029449
440	0.014496	0.0354
441	0.042877	0.010681
442	0.049438	0.07309
443	0.01236	0.038452
444	0.037231	0.022888
445	-0.002594	0.02243
446	0.106964	0.001678
447	0.076141	0.032043
448	0.047302	-0.011902
449	0.003357	0.068665
450	0.016632	0.014038
451	0.035095	0.037231
452	-0.002747	0.031738
453	0.019989	0.006104
454	0.014496	0.006256
455	0.040436	-0.022278
456	0.018921	0.026855
457	-0.007782	-0.011444
458	0.027771	0.048828
459	0.003967	0.034027
460	0.055389	-0.001221
461	0.083313	0.034027
462	0.06134	-0.007019
463	0.04364	0.002899
464	0.015717	0.030823
465	0.031891	0.04776
466	0.041809	0.024109
467	0.067444	0.025482
468	0.000763	0.04425
469	-0.00824	0.010376
470	0.001984	0.032959
471	0.029755	0.045776
472	0.007324	0.007477
473	0.050659	0.021667
474	0.023956	-0.000916
475	0.067291	-0.01236
476	0.007172	0.016937
477	0.032959	0.016785
478	0.02533	0.052338
479	0.027618	0.051575
480	0.041962	0.009155
481	0.013428	0.006561
482	0.036469	-0.005646
483	0.032806	0.013275
484	0.007172	-0.002136
485	0.00824	0.002441
486	0.024261	0.030823
487	0.037079	0.028687
488	0.028534	0.060577
489	0.027466	0.093536
490	0.036621	0.023193
491	0.014038	0.057526
492	0.028381	0.039368
493	0.026245	0.090485
494	-0.013428	0.024719
495	0.015411	0.023651
496	-0.010071	-0.003357
497	0.024261	-0.037079
498	0.028839	0.018005
499	0.018921	0.002136
500	0.052643	0.019531
501	0.0177	0.016327
502	0.037842	0.021667
503	-0.011444	0.046234
504	0.022736	0.015564
505	0.024261	0.032501
506	-0.010376	0.027313
507	0.033264	-0.005188
508	0.003357	0.017853
509	-0.001678	-0.023499
510	0.031586	0.019073
511	-0.010986	0.040436
512	0.030212	-0.016174
513	0.006561	0.026398
514	0.019836	0.010834
515	0.052643	0.0354
516	-0.004272	0.018616
517	0.03067	0.034027
518	0.004883	0.07309
519	-0.020752	-0.002594
520	0.054474	0.009155
521	0.008087	0.041046
522	0.030365	0.005188
523	0.030975	0.042114
524	0.009918	-0.005188
525	0.043793	0.021973
526	-0.005798	0.039215
527	0.032349	0.076294
528	0.011292	0.081329
529	0.009766	-0.023346
530	-0.004425	0.060272
531	-0.010529	0.019379
532	0.005798	0.045471
533	0.026855	0.03067
534	0.046997	0.046234
535	0.04364	0.0354
536	0.025635	0.019531
537	0.064392	0.035706
538	0.022278	0.039825
539	0.043945	0.0383
540	-0.034943	0.087891
541	0.036163	0.037994
542	0.009308	0.044403
543	0.01297	0.021057
544	0.031128	0.049896
545	-0.005493	0.03479
546	0.037384	0.01236
547	0.030823	0.073853
548	-0.009308	0.054169
549	0.031586	0.048065
550	0.031128	0.026093
551	0.028839	0.068207
552	0.013885	0.045471
553	0.030823	-0.002594
554	0.040588	0.047455
555	0.031586	-0.016937
556	0.033569	0.000153
557	0.018921	0.03006
558	0.053253	0.033722
559	0.024567	0.012512
560	0.010071	0.040741
561	0.010376	0.048218
562	0.059509	0.047302
563	0.043488	0.03479
564	0.010834	0.057373
565	0.058441	-0.011749
566	0.027008	0.046387
567	0.030975	-0.016327
568	0.002899	0.006256
569	-0.000153	0.057678
570	0.038147	0.050049
571	-0.003967	0.042419
572	-0.001831	0.037994
573	0.016022	0.041504
574	0.000305	0.04303
575	0.045166	0.034332
576	0.03952	0.03067
577	0.061646	0.040894
578	-0.005341	0.043793
579	-0.00412	0.041046
580	0.027771	0.047913
581	-0.006104	0.024872
582	0.031281	0.04776
583	0.00061	0.023499
584	0.045471	0.016327
585	-0.014801	0.07843
586	-0.000458	0.028839
587	0.016937	0.040588
588	-0.016785	0.013123
589	0.037384	0.021057
590	0.034027	0.031128
591	0.02182	0.014343
592	0.02594	0.032349
593	-0.028839	0.014496
594	0.027618	0.029602
595	0.02533	0.011902
596	0.0177	0.02182
597	-0.018311	0.056458
598	-0.008087	0.03006
599	0.053711	0.006409
600	-0.009613	0.017853
601	0.042419	0.019836
602	0.02182	0.027771
603	0.026398	0.02121
604	0.025635	0.014648
605	-0.006104	0.041351
606	0.016479	-0.057068
607	-0.003815	0.011139
608	0.007172	-0.019989
609	0.043945	-0.000458
610	0.02121	0.014801
611	0.03418	0.015564
612	0.02182	0.088806
613	0.016022	0.050354
614	0.018921	0.010376
615	0.02594	0.046539
616	0.023346	0.058136
617	0.027771	0.025787
618	0.024567	0.007935
619	0.04303	0.041809
620	-0.00473	0.003662
621	0.050201	0.054932
622	0.02594	0.052185
623	0.053558	0.028229
624	0.037231	0.067902
625	0.003967	0.018311
626	0.023499	0.019073
627	-0.003967	0.056763
628	0.051422	-0.032196
629	0.038757	0.043488
630	0.028076	0.011597
631	0.032654	0.042877
632	0.037537	0.052795
633	0.060883	0.012512
634	0.007629	0.04715
635	0.019073	0.013733
636	0.046692	0.012512
637	0.024719	0.000916
638	-0.007935	0.019989
639	0.018768	0.04364
640	0.004425	0.031281
641	-0.012207	0.012512
642	-0.001221	-0.033722
643	0.010376	0.055847
644	0.013885	0.003357
645	0.041504	0.010681
646	0.053864	0.06958
647	0.017242	0.010986
648	0.001373	0.037079
649	-0.003357	0.009918
650	0.067902	0.002594
651	0.052948	-0.014038
652	0.042267	0.019531
653	-0.001221	0.021362
654	-0.014496	0.018311
655	0.026398	0.00351
656	0.044098	0.062866
657	0.045776	-0.007019
658	0.018158	-0.002594
659	0.021057	0.038452
660	0.054626	-0.00412
661	0.009766	0.019684
662	0.052948	-0.00412
663	0.035095	0.065002
664	0.005188	0.019379
665	0.026398	0.015106
666	0.004883	0.017853
667	0.020752	0.002441
668	0.00061	0.065002
669	-0.024719	0.009308
670	0.003815	0.0383
671	-0.001373	-0.013428
672	0.046082	0.045624
673	0.0354	0.001373
674	0.075531	-0.003662
675	0.060883	0.07431
676	0.009918	-0.005798
677	0.02121	-0.007324
678	0.042572	0.026855
679	0.012665	0.026245
680	0.008087	0.049286
681	0.01236	0.015106
682	0.045319	0.025177
683	0.003967	0.064392
684	0.03006	-0.007782
685	0.003204	0.042114
686	0.041046	0.035095
687	0.048828	0.015106
688	0.00946	0.023041
689	0.045624	-0.016327
690	0.006256	0.025024
691	-0.001678	0.029144
692	-0.012054	-0.00412
693	-0.004425	0.014191
694	0.049133	0.014954
695	0.036926	0.018768
696	0.020752	-0.00412
697	0.065918	0.043335
698	0.009155	0.048676
699	-0.001831	0.045624
700	0.018005	0.044556
